Date,Metric,Region,Product Category,Customer Segment,Marketing Channel,Product Seasonality,customer_segment,Value,YearMonth
2024-01-13,Customer Engagement Score,North,Wine,High-Value,Email,Summer,Mid Value,128.96,2024-01
2024-01-14,Customer Engagement Score,North,Wine,High-Value,Social Media,Summer,Mid Value,99.44,2024-01
2024-01-15,Customer Engagement Score,North,Wine,High-Value,SMS,Summer,Mid Value,104.95,2024-01
2024-01-16,Customer Engagement Score,North,Wine,High-Value,Direct Mail,Winter,High Value,138.77,2024-01
2024-01-17,Customer Engagement Score,North,Wine,Medium-Value,Email,Winter,Mid Value,61.71,2024-01
2024-01-18,Customer Engagement Score,North,Wine,Medium-Value,Social Media,Fall,Low Value,126.15,2024-01
2024-01-19,Customer Engagement Score,North,Wine,Medium-Value,SMS,Summer,Low Value,60.11,2024-01
2024-01-20,Customer Engagement Score,North,Wine,Medium-Value,Direct Mail,Spring,Mid Value,120.1,2024-01
2024-01-21,Customer Engagement Score,North,Wine,Low-Value,Email,Fall,High Value,132.19,2024-01
2024-01-22,Customer Engagement Score,North,Wine,Low-Value,Social Media,Summer,Mid Value,58.13,2024-01
2024-01-23,Customer Engagement Score,North,Wine,Low-Value,SMS,Fall,Mid Value,148.66,2024-01
2024-01-24,Customer Engagement Score,North,Wine,Low-Value,Direct Mail,Fall,High Value,87.06,2024-01
2024-01-25,Customer Engagement Score,North,Spirits,High-Value,Email,Fall,High Value,144.72,2024-01
2024-01-26,Customer Engagement Score,North,Spirits,High-Value,Social Media,Spring,High Value,125.34,2024-01
2024-01-27,Customer Engagement Score,North,Spirits,High-Value,SMS,Spring,High Value,58.35,2024-01
2024-01-28,Customer Engagement Score,North,Spirits,High-Value,Direct Mail,Summer,Mid Value,105.84,2024-01
2024-01-29,Customer Engagement Score,North,Spirits,Medium-Value,Email,Fall,High Value,140.64,2024-01
2024-01-30,Customer Engagement Score,North,Spirits,Medium-Value,Social Media,Spring,Low Value,195.41,2024-01
2024-01-01,CLV,North,Beer,High-Value,Email,Summer,High Value,68.16,2024-01
2024-01-02,CLV,North,Beer,High-Value,Social Media,Summer,Low Value,108.34,2024-01
2024-01-03,CLV,North,Beer,High-Value,SMS,Summer,Low Value,96.2,2024-01
2024-01-04,CLV,North,Beer,High-Value,Direct Mail,Spring,Low Value,65.34,2024-01
2024-01-05,CLV,North,Beer,Medium-Value,Email,Fall,Mid Value,100.59,2024-01
2024-01-06,CLV,North,Beer,Medium-Value,Social Media,Summer,Low Value,51.81,2024-01
2024-01-07,CLV,North,Beer,Medium-Value,SMS,Winter,Mid Value,143.21,2024-01
2024-01-08,CLV,North,Beer,Medium-Value,Direct Mail,Fall,Low Value,119.67,2024-01
2024-01-09,CLV,North,Beer,Low-Value,Email,Winter,High Value,120.72,2024-01
2024-01-10,CLV,North,Beer,Low-Value,Social Media,Winter,Mid Value,107.63,2024-01
2024-01-11,CLV,North,Beer,Low-Value,SMS,Spring,High Value,92.41,2024-01
2024-01-12,CLV,North,Beer,Low-Value,Direct Mail,Winter,Mid Value,143.44,2024-01
2024-01-13,CLV,North,Wine,High-Value,Email,Summer,Low Value,95.08,2024-01
2024-01-14,CLV,North,Wine,High-Value,Social Media,Fall,Mid Value,148.48,2024-01
2024-01-15,CLV,North,Wine,High-Value,SMS,Summer,Low Value,62.47,2024-01
2024-01-16,CLV,North,Wine,High-Value,Direct Mail,Spring,Mid Value,136.99,2024-01
2024-01-17,CLV,North,Wine,Medium-Value,Email,Summer,Low Value,109.13,2024-01
2024-01-18,CLV,North,Wine,Medium-Value,Social Media,Winter,Low Value,55.48,2024-01
2024-01-19,CLV,North,Wine,Medium-Value,SMS,Summer,High Value,238.88,2024-01
2024-01-20,CLV,North,Wine,Medium-Value,Direct Mail,Summer,High Value,89.82,2024-01
2024-01-21,CLV,North,Wine,Low-Value,Email,Summer,Low Value,141.99,2024-01
2024-01-22,CLV,North,Wine,Low-Value,Social Media,Winter,Mid Value,84.7,2024-01
2024-01-23,CLV,North,Wine,Low-Value,SMS,Spring,High Value,95.22,2024-01
2024-01-24,CLV,North,Wine,Low-Value,Direct Mail,Fall,High Value,95.24,2024-01
2024-01-25,CLV,North,Spirits,High-Value,Email,Winter,Low Value,67.64,2024-01
2024-01-26,CLV,North,Spirits,High-Value,Social Media,Summer,Low Value,91.89,2024-01
2024-01-27,CLV,North,Spirits,High-Value,SMS,Fall,High Value,86.24,2024-01
2024-01-28,CLV,North,Spirits,High-Value,Direct Mail,Winter,Low Value,244.97,2024-01
2024-01-29,CLV,North,Spirits,Medium-Value,Email,Fall,Low Value,67.8,2024-01
2024-01-30,CLV,North,Spirits,Medium-Value,Social Media,Summer,High Value,64.87,2024-01
2024-01-01,Repeat Purchase Rate,North,Beer,High-Value,Email,Spring,Mid Value,146.3,2024-01
2024-01-02,Repeat Purchase Rate,North,Beer,High-Value,Social Media,Winter,High Value,113.26,2024-01
2024-01-03,Repeat Purchase Rate,North,Beer,High-Value,SMS,Spring,Mid Value,60.25,2024-01
2024-01-04,Repeat Purchase Rate,North,Beer,High-Value,Direct Mail,Summer,Low Value,118.79,2024-01
2024-01-05,Repeat Purchase Rate,North,Beer,Medium-Value,Email,Winter,High Value,80.1,2024-01
2024-01-06,Repeat Purchase Rate,North,Beer,Medium-Value,Social Media,Summer,High Value,56.74,2024-01
2024-01-07,Repeat Purchase Rate,North,Beer,Medium-Value,SMS,Summer,Low Value,84.59,2024-01
2024-01-08,Repeat Purchase Rate,North,Beer,Medium-Value,Direct Mail,Spring,Mid Value,54.57,2024-01
2024-01-09,Repeat Purchase Rate,North,Beer,Low-Value,Email,Fall,Low Value,147.35,2024-01
2024-01-10,Repeat Purchase Rate,North,Beer,Low-Value,Social Media,Winter,Low Value,124.97,2024-01
2024-01-11,Repeat Purchase Rate,North,Beer,Low-Value,SMS,Spring,Mid Value,191.52,2024-01
2024-01-12,Repeat Purchase Rate,North,Beer,Low-Value,Direct Mail,Summer,High Value,82.36,2024-01
2024-01-13,Repeat Purchase Rate,North,Wine,High-Value,Email,Summer,Mid Value,127.04,2024-01
2024-01-14,Repeat Purchase Rate,North,Wine,High-Value,Social Media,Fall,Mid Value,94.59,2024-01
2024-01-15,Repeat Purchase Rate,North,Wine,High-Value,SMS,Spring,High Value,149.71,2024-01
2024-01-16,Repeat Purchase Rate,North,Wine,High-Value,Direct Mail,Winter,Low Value,95.14,2024-01
2024-01-17,Repeat Purchase Rate,North,Wine,Medium-Value,Email,Winter,High Value,129.48,2024-01
2024-01-18,Repeat Purchase Rate,North,Wine,Medium-Value,Social Media,Winter,High Value,72.08,2024-01
2024-01-19,Repeat Purchase Rate,North,Wine,Medium-Value,SMS,Summer,High Value,118.05,2024-01
2024-01-20,Repeat Purchase Rate,North,Wine,Medium-Value,Direct Mail,Spring,Low Value,77.33,2024-01
2024-01-21,Repeat Purchase Rate,North,Wine,Low-Value,Email,Summer,Mid Value,65.11,2024-01
2024-01-22,Repeat Purchase Rate,North,Wine,Low-Value,Social Media,Spring,Mid Value,144.36,2024-01
2024-01-23,Repeat Purchase Rate,North,Wine,Low-Value,SMS,Winter,Mid Value,113.85,2024-01
2024-01-24,Repeat Purchase Rate,North,Wine,Low-Value,Direct Mail,Summer,Mid Value,77.42,2024-01
2024-01-25,Repeat Purchase Rate,North,Spirits,High-Value,Email,Spring,High Value,90.93,2024-01
2024-01-26,Repeat Purchase Rate,North,Spirits,High-Value,Social Media,Summer,Mid Value,73,2024-01
2024-01-27,Repeat Purchase Rate,North,Spirits,High-Value,SMS,Summer,Low Value,53.11,2024-01
2024-01-28,Repeat Purchase Rate,North,Spirits,High-Value,Direct Mail,Summer,High Value,86.85,2024-01
2024-01-29,Repeat Purchase Rate,North,Spirits,Medium-Value,Email,Fall,Low Value,97.32,2024-01
2024-01-30,Repeat Purchase Rate,North,Spirits,Medium-Value,Social Media,Summer,High Value,68.55,2024-01
2024-01-01,Campaign Conversion Rate,North,Beer,High-Value,Email,Winter,High Value,52.36,2024-01
2024-01-02,Campaign Conversion Rate,North,Beer,High-Value,Social Media,Summer,Low Value,110.71,2024-01
2024-01-03,Campaign Conversion Rate,North,Beer,High-Value,SMS,Winter,High Value,73.19,2024-01
2024-01-04,Campaign Conversion Rate,North,Beer,High-Value,Direct Mail,Summer,High Value,109.45,2024-01
2024-01-05,Campaign Conversion Rate,North,Beer,Medium-Value,Email,Winter,Low Value,148.78,2024-01
2024-01-06,Campaign Conversion Rate,North,Beer,Medium-Value,Social Media,Fall,Mid Value,119.51,2024-01
2024-01-07,Campaign Conversion Rate,North,Beer,Medium-Value,SMS,Summer,High Value,92.82,2024-01
2024-01-08,Campaign Conversion Rate,North,Beer,Medium-Value,Direct Mail,Winter,High Value,119.24,2024-01
2024-01-09,Campaign Conversion Rate,North,Beer,Low-Value,Email,Summer,High Value,62.84,2024-01
2024-01-10,Campaign Conversion Rate,North,Beer,Low-Value,Social Media,Fall,Low Value,122.43,2024-01
2024-01-11,Campaign Conversion Rate,North,Beer,Low-Value,SMS,Spring,High Value,77.42,2024-01
2024-01-12,Campaign Conversion Rate,North,Beer,Low-Value,Direct Mail,Summer,Low Value,58.57,2024-01
2024-01-13,Campaign Conversion Rate,North,Wine,High-Value,Email,Winter,Mid Value,69.19,2024-01
2024-01-14,Campaign Conversion Rate,North,Wine,High-Value,Social Media,Spring,Low Value,72.67,2024-01
2024-01-15,Campaign Conversion Rate,North,Wine,High-Value,SMS,Winter,Low Value,56.94,2024-01
2024-01-16,Campaign Conversion Rate,North,Wine,High-Value,Direct Mail,Spring,Mid Value,56.76,2024-01
2024-01-17,Campaign Conversion Rate,North,Wine,Medium-Value,Email,Fall,Mid Value,73.37,2024-01
2024-01-18,Campaign Conversion Rate,North,Wine,Medium-Value,Social Media,Winter,High Value,138.01,2024-01
2024-01-19,Campaign Conversion Rate,North,Wine,Medium-Value,SMS,Summer,Low Value,103.3,2024-01
2024-01-20,Campaign Conversion Rate,North,Wine,Medium-Value,Direct Mail,Winter,Mid Value,83.3,2024-01
2024-01-21,Campaign Conversion Rate,North,Wine,Low-Value,Email,Spring,Mid Value,149.41,2024-01
2024-01-22,Campaign Conversion Rate,North,Wine,Low-Value,Social Media,Fall,High Value,105.78,2024-01
2024-01-23,Campaign Conversion Rate,North,Wine,Low-Value,SMS,Fall,High Value,96.52,2024-01
2024-01-24,Campaign Conversion Rate,North,Wine,Low-Value,Direct Mail,Winter,Low Value,106.23,2024-01
2024-01-25,Campaign Conversion Rate,North,Spirits,High-Value,Email,Winter,Mid Value,67.53,2024-01
2024-01-26,Campaign Conversion Rate,North,Spirits,High-Value,Social Media,Fall,Mid Value,70.09,2024-01
2024-01-27,Campaign Conversion Rate,North,Spirits,High-Value,SMS,Winter,Low Value,59.67,2024-01
2024-01-28,Campaign Conversion Rate,North,Spirits,High-Value,Direct Mail,Fall,Mid Value,125.62,2024-01
2024-01-29,Campaign Conversion Rate,North,Spirits,Medium-Value,Email,Fall,Mid Value,116.49,2024-01
2024-01-30,Campaign Conversion Rate,North,Spirits,Medium-Value,Social Media,Summer,Low Value,142.72,2024-01
2024-02-01,Product Affinity Score,North,Beer,High-Value,Email,Spring,Low Value,108.78,2024-02
2024-02-02,Product Affinity Score,North,Beer,High-Value,Social Media,Spring,Mid Value,86.22,2024-02
2024-02-03,Product Affinity Score,North,Beer,High-Value,SMS,Spring,Mid Value,122.69,2024-02
2024-02-04,Product Affinity Score,North,Beer,High-Value,Direct Mail,Fall,High Value,77.31,2024-02
2024-02-05,Product Affinity Score,North,Beer,Medium-Value,Email,Spring,Low Value,79.87,2024-02
2024-02-06,Product Affinity Score,North,Beer,Medium-Value,Social Media,Winter,High Value,75.93,2024-02
2024-02-07,Product Affinity Score,North,Beer,Medium-Value,SMS,Summer,Mid Value,137.27,2024-02
2024-02-08,Product Affinity Score,North,Beer,Medium-Value,Direct Mail,Summer,High Value,68.61,2024-02
2024-02-09,Product Affinity Score,North,Beer,Low-Value,Email,Fall,Low Value,95.82,2024-02
2024-02-10,Product Affinity Score,North,Beer,Low-Value,Social Media,Fall,High Value,63.35,2024-02
2024-02-11,Product Affinity Score,North,Beer,Low-Value,SMS,Summer,High Value,122.79,2024-02
2024-02-12,Product Affinity Score,North,Beer,Low-Value,Direct Mail,Spring,Mid Value,93.69,2024-02
2024-02-13,Product Affinity Score,North,Wine,High-Value,Email,Winter,High Value,126.55,2024-02
2024-02-14,Product Affinity Score,North,Wine,High-Value,Social Media,Winter,Mid Value,111.02,2024-02
2024-02-15,Product Affinity Score,North,Wine,High-Value,SMS,Winter,Mid Value,125.14,2024-02
2024-02-16,Product Affinity Score,North,Wine,High-Value,Direct Mail,Summer,Mid Value,145.66,2024-02
2024-02-17,Product Affinity Score,North,Wine,Medium-Value,Email,Summer,Mid Value,55.71,2024-02
2024-02-18,Product Affinity Score,North,Wine,Medium-Value,Social Media,Spring,Low Value,76.17,2024-02
2024-02-19,Product Affinity Score,North,Wine,Medium-Value,SMS,Spring,Mid Value,140.63,2024-02
2024-02-20,Product Affinity Score,North,Wine,Medium-Value,Direct Mail,Summer,Mid Value,77.19,2024-02
2024-02-21,Product Affinity Score,North,Wine,Low-Value,Email,Fall,High Value,94.97,2024-02
2024-02-22,Product Affinity Score,North,Wine,Low-Value,Social Media,Fall,Mid Value,56.54,2024-02
2024-02-23,Product Affinity Score,North,Wine,Low-Value,SMS,Fall,Low Value,53.36,2024-02
2024-02-24,Product Affinity Score,North,Wine,Low-Value,Direct Mail,Winter,Low Value,140.64,2024-02
2024-02-25,Product Affinity Score,North,Spirits,High-Value,Email,Fall,High Value,103.24,2024-02
2024-02-26,Product Affinity Score,North,Spirits,High-Value,Social Media,Fall,Mid Value,84.73,2024-02
2024-02-27,Product Affinity Score,North,Spirits,High-Value,SMS,Spring,High Value,52.18,2024-02
2024-02-28,Product Affinity Score,North,Spirits,High-Value,Direct Mail,Fall,Mid Value,146.34,2024-02
2024-02-01,Customer Engagement Score,North,Beer,High-Value,Email,Summer,Low Value,56.64,2024-02
2024-02-02,Customer Engagement Score,North,Beer,High-Value,Social Media,Summer,Mid Value,123.42,2024-02
2024-02-03,Customer Engagement Score,North,Beer,High-Value,SMS,Spring,Low Value,79.5,2024-02
2024-02-04,Customer Engagement Score,North,Beer,High-Value,Direct Mail,Summer,High Value,174.83,2024-02
2024-02-05,Customer Engagement Score,North,Beer,Medium-Value,Email,Winter,Mid Value,105.86,2024-02
2024-02-06,Customer Engagement Score,North,Beer,Medium-Value,Social Media,Winter,Low Value,122.92,2024-02
2024-02-07,Customer Engagement Score,North,Beer,Medium-Value,SMS,Fall,Low Value,134.56,2024-02
2024-02-08,Customer Engagement Score,North,Beer,Medium-Value,Direct Mail,Summer,High Value,92.99,2024-02
2024-02-09,Customer Engagement Score,North,Beer,Low-Value,Email,Fall,Low Value,77.54,2024-02
2024-02-10,Customer Engagement Score,North,Beer,Low-Value,Social Media,Spring,Low Value,128.9,2024-02
2024-02-11,Customer Engagement Score,North,Beer,Low-Value,SMS,Winter,Mid Value,129.84,2024-02
2024-02-12,Customer Engagement Score,North,Beer,Low-Value,Direct Mail,Spring,Mid Value,135.76,2024-02
2024-02-13,Customer Engagement Score,North,Wine,High-Value,Email,Fall,Mid Value,93.1,2024-02
2024-02-14,Customer Engagement Score,North,Wine,High-Value,Social Media,Winter,Mid Value,108.22,2024-02
2024-02-15,Customer Engagement Score,North,Wine,High-Value,SMS,Fall,Mid Value,110.11,2024-02
2024-02-16,Customer Engagement Score,North,Wine,High-Value,Direct Mail,Winter,High Value,118.84,2024-02
2024-02-17,Customer Engagement Score,North,Wine,Medium-Value,Email,Spring,Low Value,66.69,2024-02
2024-02-18,Customer Engagement Score,North,Wine,Medium-Value,Social Media,Spring,High Value,64.26,2024-02
2024-02-19,Customer Engagement Score,North,Wine,Medium-Value,SMS,Winter,High Value,84.59,2024-02
2024-02-20,Customer Engagement Score,North,Wine,Medium-Value,Direct Mail,Fall,Mid Value,52.54,2024-02
2024-02-21,Customer Engagement Score,North,Wine,Low-Value,Email,Spring,Mid Value,113.69,2024-02
2024-02-22,Customer Engagement Score,North,Wine,Low-Value,Social Media,Winter,High Value,57.17,2024-02
2024-02-23,Customer Engagement Score,North,Wine,Low-Value,SMS,Summer,Mid Value,81.12,2024-02
2024-02-24,Customer Engagement Score,North,Wine,Low-Value,Direct Mail,Summer,High Value,110.58,2024-02
2024-02-25,Customer Engagement Score,North,Spirits,High-Value,Email,Fall,High Value,71.79,2024-02
2024-02-26,Customer Engagement Score,North,Spirits,High-Value,Social Media,Spring,High Value,95.4,2024-02
2024-02-27,Customer Engagement Score,North,Spirits,High-Value,SMS,Summer,Low Value,64.06,2024-02
2024-02-28,Customer Engagement Score,North,Spirits,High-Value,Direct Mail,Summer,Mid Value,52.75,2024-02
2024-02-01,CLV,North,Beer,High-Value,Email,Summer,Mid Value,79.05,2024-02
2024-02-02,CLV,North,Beer,High-Value,Social Media,Summer,Mid Value,139.01,2024-02
2024-02-03,CLV,North,Beer,High-Value,SMS,Spring,Mid Value,56.22,2024-02
2024-02-04,CLV,North,Beer,High-Value,Direct Mail,Fall,Low Value,50.78,2024-02
2024-02-05,CLV,North,Beer,Medium-Value,Email,Fall,Mid Value,94.77,2024-02
2024-02-06,CLV,North,Beer,Medium-Value,Social Media,Fall,Low Value,145.79,2024-02
2024-02-07,CLV,North,Beer,Medium-Value,SMS,Fall,Mid Value,74.19,2024-02
2024-02-08,CLV,North,Beer,Medium-Value,Direct Mail,Summer,Mid Value,117.96,2024-02
2024-02-09,CLV,North,Beer,Low-Value,Email,Winter,High Value,77.47,2024-02
2024-02-10,CLV,North,Beer,Low-Value,Social Media,Spring,Low Value,95.97,2024-02
2024-02-11,CLV,North,Beer,Low-Value,SMS,Summer,Low Value,155.38,2024-02
2024-02-12,CLV,North,Beer,Low-Value,Direct Mail,Fall,Low Value,94.55,2024-02
2024-02-13,CLV,North,Wine,High-Value,Email,Fall,High Value,55,2024-02
2024-02-14,CLV,North,Wine,High-Value,Social Media,Summer,Mid Value,148.12,2024-02
2024-02-15,CLV,North,Wine,High-Value,SMS,Summer,Low Value,135.38,2024-02
2024-02-16,CLV,North,Wine,High-Value,Direct Mail,Winter,Low Value,146.06,2024-02
2024-02-17,CLV,North,Wine,Medium-Value,Email,Winter,Mid Value,145.14,2024-02
2024-02-18,CLV,North,Wine,Medium-Value,Social Media,Winter,Mid Value,121.17,2024-02
2024-02-19,CLV,North,Wine,Medium-Value,SMS,Winter,Low Value,106.95,2024-02
2024-02-20,CLV,North,Wine,Medium-Value,Direct Mail,Summer,Low Value,93.7,2024-02
2024-02-21,CLV,North,Wine,Low-Value,Email,Winter,High Value,57.31,2024-02
2024-02-22,CLV,North,Wine,Low-Value,Social Media,Fall,High Value,148.12,2024-02
2024-02-23,CLV,North,Wine,Low-Value,SMS,Spring,Mid Value,129.26,2024-02
2024-02-24,CLV,North,Wine,Low-Value,Direct Mail,Summer,High Value,144.37,2024-02
2024-02-25,CLV,North,Spirits,High-Value,Email,Fall,Low Value,102.15,2024-02
2024-02-26,CLV,North,Spirits,High-Value,Social Media,Spring,High Value,125.73,2024-02
2024-02-27,CLV,North,Spirits,High-Value,SMS,Fall,Low Value,97.69,2024-02
2024-02-28,CLV,North,Spirits,High-Value,Direct Mail,Winter,Mid Value,74.73,2024-02
2024-02-01,Repeat Purchase Rate,North,Beer,High-Value,Email,Summer,High Value,95.43,2024-02
2024-02-02,Repeat Purchase Rate,North,Beer,High-Value,Social Media,Fall,Mid Value,74.84,2024-02
2024-02-03,Repeat Purchase Rate,North,Beer,High-Value,SMS,Winter,High Value,92.76,2024-02
2024-02-04,Repeat Purchase Rate,North,Beer,High-Value,Direct Mail,Winter,Mid Value,114.93,2024-02
2024-02-05,Repeat Purchase Rate,North,Beer,Medium-Value,Email,Summer,High Value,56.4,2024-02
2024-02-06,Repeat Purchase Rate,North,Beer,Medium-Value,Social Media,Fall,Low Value,79.24,2024-02
2024-02-07,Repeat Purchase Rate,North,Beer,Medium-Value,SMS,Fall,Mid Value,52.19,2024-02
2024-02-08,Repeat Purchase Rate,North,Beer,Medium-Value,Direct Mail,Winter,Mid Value,100.26,2024-02
2024-02-09,Repeat Purchase Rate,North,Beer,Low-Value,Email,Winter,Mid Value,99.11,2024-02
2024-02-10,Repeat Purchase Rate,North,Beer,Low-Value,Social Media,Summer,Mid Value,60.54,2024-02
2024-02-11,Repeat Purchase Rate,North,Beer,Low-Value,SMS,Fall,High Value,90.97,2024-02
2024-02-12,Repeat Purchase Rate,North,Beer,Low-Value,Direct Mail,Winter,Low Value,76.02,2024-02
2024-02-13,Repeat Purchase Rate,North,Wine,High-Value,Email,Spring,Mid Value,66.05,2024-02
2024-02-14,Repeat Purchase Rate,North,Wine,High-Value,Social Media,Summer,Low Value,68.56,2024-02
2024-02-15,Repeat Purchase Rate,North,Wine,High-Value,SMS,Winter,High Value,138.17,2024-02
2024-02-16,Repeat Purchase Rate,North,Wine,High-Value,Direct Mail,Winter,Low Value,118.51,2024-02
2024-02-17,Repeat Purchase Rate,North,Wine,Medium-Value,Email,Fall,High Value,78.92,2024-02
2024-02-18,Repeat Purchase Rate,North,Wine,Medium-Value,Social Media,Fall,Mid Value,75,2024-02
2024-02-19,Repeat Purchase Rate,North,Wine,Medium-Value,SMS,Fall,High Value,103.56,2024-02
2024-02-20,Repeat Purchase Rate,North,Wine,Medium-Value,Direct Mail,Fall,High Value,85.38,2024-02
2024-02-21,Repeat Purchase Rate,North,Wine,Low-Value,Email,Fall,Mid Value,128.93,2024-02
2024-02-22,Repeat Purchase Rate,North,Wine,Low-Value,Social Media,Spring,Low Value,141.38,2024-02
2024-02-23,Repeat Purchase Rate,North,Wine,Low-Value,SMS,Summer,Mid Value,82.67,2024-02
2024-02-24,Repeat Purchase Rate,North,Wine,Low-Value,Direct Mail,Spring,Mid Value,100.56,2024-02
2024-02-25,Repeat Purchase Rate,North,Spirits,High-Value,Email,Fall,Low Value,137.63,2024-02
2024-02-26,Repeat Purchase Rate,North,Spirits,High-Value,Social Media,Fall,Mid Value,89.27,2024-02
2024-02-27,Repeat Purchase Rate,North,Spirits,High-Value,SMS,Spring,High Value,100.31,2024-02
2024-02-28,Repeat Purchase Rate,North,Spirits,High-Value,Direct Mail,Winter,High Value,135.88,2024-02
2024-02-01,Campaign Conversion Rate,North,Beer,High-Value,Email,Fall,High Value,56.26,2024-02
2024-02-02,Campaign Conversion Rate,North,Beer,High-Value,Social Media,Spring,Mid Value,130.9,2024-02
2024-02-03,Campaign Conversion Rate,North,Beer,High-Value,SMS,Spring,Mid Value,84.26,2024-02
2024-02-04,Campaign Conversion Rate,North,Beer,High-Value,Direct Mail,Winter,High Value,65.49,2024-02
2024-02-05,Campaign Conversion Rate,North,Beer,Medium-Value,Email,Winter,High Value,98.45,2024-02
2024-02-06,Campaign Conversion Rate,North,Beer,Medium-Value,Social Media,Fall,Low Value,106.34,2024-02
2024-02-07,Campaign Conversion Rate,North,Beer,Medium-Value,SMS,Winter,High Value,63.71,2024-02
2024-02-08,Campaign Conversion Rate,North,Beer,Medium-Value,Direct Mail,Summer,Mid Value,100.55,2024-02
2024-02-09,Campaign Conversion Rate,North,Beer,Low-Value,Email,Summer,Mid Value,112.4,2024-02
2024-02-10,Campaign Conversion Rate,North,Beer,Low-Value,Social Media,Spring,High Value,98.78,2024-02
